08:59:00.001, kubernetes.hints.container_logs, {"log.level":"error" "log.logger":"reader_json" "log.origin":{"file.name":"readjson/json.go" "file.line":75} "message":"Error decoding JSON: invalid character 'r' in literal false (expecting 'a')" "service.name":"filebeat" "ecs.version":"1.6.0"}
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, failed to find Loading workload...
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, [TOTALGCTIME%Copy] Time(%) 1.0822510822510822
08:59:00.001, kubernetes.hints.containerlogs, [TOTALGCSMarkSweepCompact] Count 0
08:59:00.001, kubernetes.hints.containerlogs, [TOTALGCTIME%MarkSweepCompact] Time(%) 0.0
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.container_logs, {"log.level":"error" "log.logger":"reader_json" "log.origin":{"file.name":"readjson/json.go" "file.line":75} "message":"Error decoding JSON: invalid character 'r' in literal false (expecting 'a')" "service.name":"filebeat" "ecs.version":"1.6.0"}
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, failed to find Loading workload...
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, failed to find Loading workload...
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, failed to find Loading workload...
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, api,[][access] "POST /api/as/v1/docs/application/apply/ege HTTP/" 200 0
08:59:00.001, app-search-analytics,failed to find message
08:59:00.001, kubernetes.hints.container_logs, method [POST] host [https://byccity.ru:80]  URI [/apply/_ege?ver=true&auth=true] http.request.headers.Connection 
08:59:00.001, kubernetes.hints.container_logs, [][access] "GET /ege
08:59:00.001, kubernetes.hints.container_logs, Return=ERROR 3
08:59:00.001, kubernetes.hints.containerlogs, failed to find Loading workload...
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, failed to find Loading workload...
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, failed to find Loading workload...
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, failed to find Loading workload...
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, failed to find Loading workload...
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, failed to find Loading workload...
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
08:59:00.001, kubernetes.hints.containerlogs, [TOTALGCTIME%Copy] Time(%) 1.0822510822510822
08:59:00.001, kubernetes.hints.containerlogs, [TOTALGCSMarkSweepCompact] Count 0
08:59:00.001, kubernetes.hints.containerlogs, [TOTALGCTIME%MarkSweepCompact] Time(%) 0.0
08:59:00.001, kubernetes.hints.containerlogs, failed to find message
